It1,It2,It3,It4,It5,It6,It7,It8,It9,It10,It11,It12,It13,It14,It15,It16,It17,It18,It19,It20
4,2,1,3,1,5,5,2,3,1,2,4,5,1,4,1,3,5,1,1
4,2,1,2,2,3,2,1,3,1,1,4,3,1,4,2,3,3,2,2
5,2,1,3,1,5,4,1,3,1,2,5,5,1,4,1,5,5,2,1
5,4,3,3,2,4,3,3,3,2,3,4,3,3,5,3,4,4,3,2
3,3,1,3,1,3,5,4,4,3,4,3,3,2,3,1,3,2,3,1
4,1,1,4,1,5,5,1,4,3,1,3,3,2,2,1,3,5,1,1
5,3,2,4,1,5,3,2,4,1,4,5,4,3,5,3,5,3,4,3
1,4,4,5,1,4,3,4,3,3,4,1,4,3,2,1,1,3,3,2
1,5,3,1,1,3,4,5,3,1,2,1,3,4,2,3,2,3,4,4
3,1,1,3,1,3,3,1,4,1,2,3,4,1,3,1,3,4,1,1
4,3,2,3,1,1,3,2,5,1,3,2,4,2,4,2,4,4,2,1
4,4,1,3,1,4,3,3,4,2,3,3,3,2,4,2,3,4,3,4
4,2,1,2,1,3,4,2,3,1,2,4,3,1,4,1,5,4,2,2
4,3,2,2,2,3,4,3,3,1,2,4,3,2,4,2,4,3,2,1
4,2,1,3,1,3,5,1,5,3,3,4,4,1,4,1,4,4,4,3
4,3,2,2,1,2,3,2,1,1,3,3,4,2,4,2,4,3,2,1
4,1,1,2,1,3,4,1,3,1,3,3,3,1,3,1,3,4,1,1
5,2,1,2,1,5,5,1,5,2,2,5,5,1,5,1,5,5,1,1
5,2,1,4,1,4,5,2,4,1,2,2,3,1,4,1,4,4,1,1
3,3,4,2,1,4,3,3,3,3,2,2,3,4,3,2,3,4,4,2
3,3,1,4,1,3,2,1,3,1,2,2,2,1,2,1,2,1,2,1
5,1,1,3,1,4,4,1,3,1,1,4,4,1,3,1,3,3,1,1
2,4,3,2,1,2,1,4,2,3,3,2,2,2,2,2,2,3,5,5
4,4,4,2,1,2,2,4,3,1,1,1,2,4,1,1,3,2,1,1
4,3,2,3,1,4,5,3,4,1,2,3,3,1,3,1,3,4,1,1
3,3,1,4,1,3,4,1,4,2,2,2,2,1,2,1,4,4,2,1
4,1,1,4,1,5,2,2,3,1,4,4,4,1,5,4,4,5,1,2
4,2,2,3,1,4,3,1,3,2,2,1,1,1,4,1,3,4,4,1
5,3,1,4,2,3,5,3,3,3,3,2,4,1,4,2,4,4,3,3
2,1,1,3,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1
3,1,1,4,1,4,4,2,4,1,1,3,3,1,5,1,5,4,2,1
4,3,1,2,2,3,3,2,2,1,2,2,3,1,4,1,2,2,2,1
5,5,1,5,4,2,5,4,4,1,3,4,2,1,4,1,4,2,1,1
5,1,2,4,1,4,5,1,3,1,3,4,5,2,5,1,5,4,2,1
3,2,3,1,1,4,1,1,2,3,4,1,3,2,1,3,3,4,2,1
4,2,3,4,1,4,4,2,4,2,2,3,4,2,4,1,3,4,3,2
3,3,5,1,5,5,2,4,3,1,3,1,3,5,1,4,3,3,5,2
3,2,1,2,1,4,4,3,3,2,3,3,3,2,3,2,3,3,3,1
4,2,1,4,1,5,3,1,3,1,2,4,5,1,3,1,4,3,1,1
4,4,1,1,1,1,4,2,1,1,2,1,2,1,3,1,3,3,1,2
4,5,4,2,1,3,3,4,2,3,4,3,4,4,3,3,3,5,4,4
4,1,1,3,1,3,4,1,2,1,2,4,4,1,2,1,4,3,2,2
4,2,2,3,4,2,3,2,2,1,3,1,4,4,3,3,3,3,3,2
4,4,4,4,4,3,2,4,3,3,3,2,2,3,2,2,3,2,3,1
4,2,1,4,1,5,4,2,3,1,2,4,4,1,2,1,3,5,2,2
5,3,2,1,1,4,5,1,1,3,3,4,2,1,2,1,3,2,3,3
4,2,2,5,1,4,4,1,4,1,3,4,4,2,4,1,4,4,2,1
4,2,1,3,1,4,3,1,3,1,3,2,3,1,3,1,3,3,1,1
4,3,1,4,1,3,2,4,2,2,3,3,4,1,3,1,3,3,4,1
5,2,1,4,1,5,5,2,3,1,1,4,4,1,4,1,5,4,1,1
4,2,1,3,2,3,4,1,3,1,1,3,3,1,4,2,3,3,2,1
4,2,1,2,1,3,3,2,3,1,1,1,4,1,3,1,3,3,1,1
3,3,2,4,1,3,4,3,1,4,4,2,2,2,3,4,2,3,2,1
5,3,2,4,1,4,3,1,4,1,2,3,4,1,2,1,4,5,1,1
4,1,1,3,1,3,3,1,3,1,1,2,4,1,3,1,2,4,1,1
4,3,1,2,1,3,4,1,5,2,2,1,1,1,2,1,1,3,1,1
4,2,1,4,4,4,3,4,3,2,2,2,2,3,4,5,3,3,3,1
3,3,1,1,2,5,4,3,3,2,3,1,2,1,4,1,2,3,4,3
4,2,2,4,5,4,4,2,3,1,2,3,4,2,2,5,2,4,4,1
2,2,1,4,2,4,4,1,4,2,2,1,3,1,3,1,4,3,2,1
4,4,3,2,2,4,5,4,4,2,3,1,4,2,3,3,2,2,3,2
4,2,1,3,1,4,5,2,3,1,1,3,5,1,4,1,3,2,2,1
2,1,1,2,1,3,3,1,2,1,1,1,1,1,3,1,2,2,1,1
3,4,2,2,1,4,3,4,3,4,4,2,2,2,3,2,2,2,5,5
4,1,1,5,1,5,4,3,4,3,3,5,4,1,5,2,4,2,3,3
4,2,2,4,1,2,4,3,4,2,2,2,3,1,5,1,3,2,2,1
4,2,1,4,1,3,3,1,3,2,3,2,4,2,3,4,4,3,2,1
3,2,1,2,3,4,3,5,2,2,2,2,2,1,4,1,4,3,3,3
3,2,2,4,1,4,3,2,3,2,2,2,2,2,2,1,3,3,3,2
4,1,1,3,2,2,4,3,4,2,2,3,4,1,4,2,4,4,3,3
3,1,1,3,1,5,5,3,4,1,2,4,4,1,5,3,5,4,4,2
5,2,1,5,1,3,5,1,3,1,2,5,4,1,3,1,5,3,2,3
5,1,1,4,4,5,5,2,5,5,4,5,5,1,5,1,5,5,2,2
5,2,1,4,1,4,5,1,4,3,3,5,5,1,4,1,4,5,1,2
5,2,1,3,1,4,4,1,4,2,2,4,4,1,4,1,3,4,2,1
4,1,1,3,1,4,4,1,2,1,1,3,3,1,5,1,4,4,1,1
4,2,1,4,1,4,4,1,5,2,2,4,4,1,4,1,5,4,1,1
4,1,1,4,1,5,5,1,5,2,2,4,4,1,4,1,4,4,1,1
3,3,2,4,2,5,4,3,4,1,2,2,3,2,4,2,4,4,2,1
4,2,1,1,1,3,4,1,3,2,2,1,3,1,1,1,3,4,1,1
2,4,3,2,2,3,1,4,1,1,2,1,3,4,3,2,2,1,3,2
4,1,1,3,2,5,3,1,3,2,3,3,3,2,3,3,4,4,2,2
3,3,1,4,1,5,5,2,5,3,1,2,1,1,2,1,3,3,1,1
3,4,2,3,1,4,4,5,3,2,4,3,3,2,3,2,3,3,2,2
4,3,2,5,1,5,5,1,3,1,1,3,3,1,4,1,4,4,1,1
3,1,1,5,1,4,4,1,4,1,1,4,4,1,4,1,4,4,1,1
5,3,2,4,1,5,5,2,5,3,3,3,5,2,3,2,4,5,2,1
5,4,1,2,3,4,3,1,2,4,4,3,3,2,4,1,4,3,5,4
4,2,1,4,1,4,3,1,3,1,2,2,4,1,2,1,4,4,1,1
